tipo,pregunta,materia,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,opcion_f,correctas,respuesta_correcta,respuesta_modelo,criterios
opcion_unica,¿Qué es el Órgano Especializado en Mecanismos Alternativos de Solución de Controversias en Materia Penal y de Justicia para Adolescentes (OEMASC)?,Derecho,"Es el órgano del CJA encargado de tramitar mecanismos alternativos como mediación, conciliación o junta restaurativa en materia penal y de adolescentes.",Es un tribunal especializado en delitos graves que no admite salidas alternas.,Es una unidad administrativa que solo gestiona multas y sanciones económicas.,Es una fiscalía que investiga delitos y busca sanciones penales.,,,0,"Es el órgano del CJA encargado de tramitar mecanismos alternativos como mediación, conciliación o junta restaurativa en materia penal y de adolescentes.",El OEMASC es el órgano del CJA que gestiona mecanismos alternativos para conflictos penales y de adolescentes.,
opcion_unica,¿Qué es un Facilitador Público?,Derecho,Es un juez que decide el resultado de la mediación.,Es un notario que da fe de los acuerdos.,Es un profesional certificado del Órgano cuya función es propiciar la participación de los intervinientes en los mecanismos alternativos.,Es un abogado defensor que representa a una de las partes.,,,2,Es un profesional certificado del Órgano cuya función es propiciar la participación de los intervinientes en los mecanismos alternativos.,El facilitador público es un profesional certificado que guía y facilita la comunicación entre las partes.,
opcion_unica,¿Cómo se solicita un Mecanismo Alternativo de Solución de Controversias (MASC) en materia penal?,Derecho,Se solicita directamente en el Centro de Justicia Alternativa sin intervención judicial.,Se solicita mediante un escrito presentado ante el Tribunal Superior de Justicia.,"Se solicita ante el Ministerio Público, quien decide si procede la mediación.","Se solicita la salida alterna ante un Juez de Control, quien deriva el asunto al OEMASC a través de la Unidad de Gestión Judicial.",,,3,"Se solicita la salida alterna ante un Juez de Control, quien deriva el asunto al OEMASC a través de la Unidad de Gestión Judicial.",El juez de control deriva el caso al OEMASC cuando se solicita una salida alterna.,
opcion_unica,¿En qué casos procede un MASC para celebrar un acuerdo reparatorio?,Derecho,"En todos los delitos, incluidos los graves con violencia.","En delitos de querella, culposos o patrimoniales sin violencia, excepto violencia familiar; en adolescentes, cuando no amerite internamiento.","En delitos de oficio, siempre que la víctima lo acepte.","Solo en delitos patrimoniales con violencia, como robo con violencia.",,,1,"En delitos de querella, culposos o patrimoniales sin violencia, excepto violencia familiar; en adolescentes, cuando no amerite internamiento.","El acuerdo reparatorio procede en delitos no graves, como los de querella o culposos, y en adolescentes sin internamiento.",
opcion_unica,¿Qué efectos produce un Acuerdo Reparatorio derivado de la aplicación de un MASC?,Derecho,"No tiene efectos sobre la acción penal, solo sobre la reparación del daño.",Suspende la acción penal hasta que se cumpla el acuerdo.,Sobresee el proceso penal de manera definitiva.,"Extingue la acción penal, una vez aprobado por el Juez de Control conforme al Código Nacional de Procedimientos Penales.",,,3,"Extingue la acción penal, una vez aprobado por el Juez de Control conforme al Código Nacional de Procedimientos Penales.","El Acuerdo Reparatorio aprobado por el Juez de Control extingue la acción penal, conforme al CNPP.",
opcion_unica,¿Qué sucede si el imputado o acusado incumple el Acuerdo Reparatorio?,Derecho,Se impone una sanción económica sin retomar el proceso.,El proceso penal se archiva definitivamente.,El acuerdo se prorroga automáticamente por un plazo adicional.,Se informa al Juez de Control para que decrete el incumplimiento y se retome el proceso penal.,,,3,Se informa al Juez de Control para que decrete el incumplimiento y se retome el proceso penal.,"El incumplimiento se reporta al Juez de Control, quien decreta el incumplimiento y ordena continuar con el proceso penal.",
opcion_unica,¿Qué efectos tiene un Plan de Reparación derivado de la aplicación de un MASC?,Derecho,Es requisito para que proceda el procedimiento abreviado.,Es requisito para que proceda la conciliación.,Es requisito para que proceda el criterio de oportunidad.,"Es requisito para que proceda la suspensión condicional del proceso, según el CNPP.",,,3,"Es requisito para que proceda la suspensión condicional del proceso, según el CNPP.",El Plan de Reparación es un elemento necesario para la procedencia de la suspensión condicional del proceso.,
opcion_unica,¿Qué es un acuerdo de sometimiento o sumisión?,Derecho,Documento donde el mediador impone la solución a las partes.,Contrato de confidencialidad entre mediador y mediados.,Acuerdo entre las partes para no acudir a mediación.,"Pacto para someter la controversia a mediación o conciliación, con reglas y compromisos.",,,3,"Pacto para someter la controversia a mediación o conciliación, con reglas y compromisos.","El acuerdo de sometimiento es el pacto para someter la disputa a mediación o conciliación, estableciendo reglas y compromisos.",
opcion_unica,¿Qué se entiende por alterutralidad?,Derecho,Capacidad del mediador de ponerse en el lugar de cada parte.,"Capacidad del mediador de sentir que los mediados son iguales a él, sin distinciones.",Capacidad del mediador de mantenerse neutral e imparcial.,Capacidad del mediador de proponer soluciones justas.,,,1,"Capacidad del mediador de sentir que los mediados son iguales a él, sin distinciones.","Alterutralidad es la capacidad del mediador de percibir a los mediados como iguales, sin privilegios.",
opcion_unica,¿Qué significa analogía en el contexto de la mediación?,Derecho,Técnica para que las partes se pongan de acuerdo rápidamente.,Comparación o relación entre conceptos para entender y resolver conflictos.,Método para evaluar la credibilidad de los testigos.,Procedimiento para impugnar un acuerdo reparatorio.,,,1,Comparación o relación entre conceptos para entender y resolver conflictos.,"Analogía es la comparación o relación entre razones o conceptos, útil para comprender el conflicto.",
opcion_unica,¿Qué es la comediación?,Derecho,Mediación en la que participan abogados de ambas partes.,Mediación que se lleva a cabo en línea.,Mediación realizada por un solo mediador y un observador.,Procedimiento de mediación conducido por dos o más mediadores.,,,3,Procedimiento de mediación conducido por dos o más mediadores.,Comediación es cuando dos o más mediadores conducen el procedimiento de mediación.,
opcion_unica,¿Qué es la conciliación?,Derecho,Acción de poner de acuerdo posturas encontradas para llegar a un arreglo beneficioso.,Método para evitar que las partes lleguen a un acuerdo.,Procedimiento para imponer una sanción al infractor.,Proceso donde un tercero decide la solución del conflicto.,,,0,Acción de poner de acuerdo posturas encontradas para llegar a un arreglo beneficioso.,Conciliación es el acto de armonizar posturas opuestas para lograr un acuerdo beneficioso.,
opcion_unica,¿Qué es la conciliación extrajudicial?,Derecho,Acuerdo alcanzado durante un proceso judicial.,Acción de ponerse de acuerdo fuera de juicio.,Conciliación realizada por un juez en audiencia.,Procedimiento para resolver conflictos laborales.,,,1,Acción de ponerse de acuerdo fuera de juicio.,La conciliación extrajudicial es el acuerdo logrado sin intervención de un tribunal.,
opcion_unica,¿Qué es la conciliación intraprocesal?,Derecho,Acuerdo alcanzado antes de iniciar cualquier procedimiento.,Acción de ponerse de acuerdo dentro de un procedimiento oficial y formal.,Método de resolución de conflictos en línea.,Conciliación realizada por un mediador privado.,,,1,Acción de ponerse de acuerdo dentro de un procedimiento oficial y formal.,La conciliación intraprocesal es el acuerdo logrado dentro de un procedimiento judicial o formal.,
opcion_unica,¿Qué se entiende por confidencialidad en el contexto de la información?,Derecho,Es la cualidad de la información de ser pública y accesible a cualquier persona.,Es la propiedad de la información de ser fácilmente modificable por terceros.,Es la característica de la información que le permite mantenerse oculta e inaccesible a todos.,Es la característica de la información de ser verificable y auténtica.,,,2,Es la característica de la información que le permite mantenerse oculta e inaccesible a todos.,La confidencialidad se refiere a que la información se mantiene oculta e inaccesible para quienes no están autorizados.,
opcion_unica,¿Cómo se define el conflicto en el ámbito de la mediación?,Derecho,Es la coincidencia de intereses entre las partes involucradas.,"Es la divergencia percibida de intereses, sentires, pensares o haceres.",Es la falta de comunicación entre las personas que interactúan.,Es la imposición de una de las partes sobre la otra mediante la fuerza.,,,1,"Es la divergencia percibida de intereses, sentires, pensares o haceres.","El conflicto surge cuando las partes perciben una divergencia en sus intereses, sentimientos, pensamientos o acciones.",
opcion_unica,¿Qué es la confrontación en el contexto de resolución de conflictos?,Derecho,Es evitar el encuentro directo entre las partes para no agravar el conflicto.,Es la fase final del proceso de mediación donde se firma el acuerdo.,Es el acto de poner a una persona o cosa enfrente con objeto de encontrar una solución o cumplir con algún objetivo.,Es la acción de imponer una solución unilateral sin diálogo.,,,2,Es el acto de poner a una persona o cosa enfrente con objeto de encontrar una solución o cumplir con algún objetivo.,La confrontación implica enfrentar a las partes o elementos para buscar una solución o alcanzar un objetivo.,
opcion_unica,¿Qué es la connotación positiva en el contexto de la mediación?,Derecho,Es la acción de ignorar los aspectos positivos del conflicto.,Es la técnica de reformular los problemas para que parezcan más graves.,Es la interpretación negativa que el mediador hace de las conductas de las partes.,"Es el énfasis llevado a cabo generalmente por el Mediador de una palabra, enunciado, imagen, actitud o conducta, con el propósito de que sea conscientemente valorada.",,,3,"Es el énfasis llevado a cabo generalmente por el Mediador de una palabra, enunciado, imagen, actitud o conducta, con el propósito de que sea conscientemente valorada.",La connotación positiva es una técnica del mediador para resaltar aspectos favorables y promover una valoración consciente.,
opcion_unica,¿Qué es el convenio de mediación?,Derecho,"Es el acto formalmente jurídico y de naturaleza moral y ética que corona todo proceso exitoso de mediación, en cuyo contenido se traza la solución, la prevención o la minimización de las secuelas de un determinado confl…",Es la constancia de que las partes no llegaron a un acuerdo.,Es el documento inicial que da inicio al procedimiento de mediación.,Es la solicitud que presenta el mediador ante un juez para resolver el conflicto.,,,0,"Es el acto formalmente jurídico y de naturaleza moral y ética que corona todo proceso exitoso de mediación, en cuyo contenido se traza la solución, la prevención o la minimización de las secuelas de un determinado confl…",El convenio de mediación es el acuerdo final que formaliza la solución o prevención del conflicto.,
opcion_unica,¿Qué es el encuadre en el procedimiento de mediación?,Derecho,"Es la exposición detallada de la naturaleza, principios, reglas mínimas, dinámica, estructura y fines del procedimiento de mediación o conciliación.",Es la etapa donde las partes presentan sus demandas y pruebas.,Es la técnica para que el mediador imponga su punto de vista.,Es la fase de evaluación de los acuerdos alcanzados.,,,0,"Es la exposición detallada de la naturaleza, principios, reglas mínimas, dinámica, estructura y fines del procedimiento de mediación o conciliación.",El encuadre es la presentación inicial que hace el mediador sobre el proceso y sus reglas.,
opcion_unica,¿Qué es el expediente de mediación?,Derecho,Es el registro de los honorarios del mediador.,Es el documento donde se contienen las constancias del procedimiento de mediación.,Es el acuerdo final firmado por las partes.,Es la lista de sesiones programadas para la mediación.,,,1,Es el documento donde se contienen las constancias del procedimiento de mediación.,El expediente de mediación es el conjunto de documentos que registran el desarrollo del procedimiento.,
opcion_unica,¿Qué es el familiograma?,Derecho,Es una técnica de mediación que se enfoca en los problemas económicos de la familia.,Es un cuestionario que se aplica a los miembros de la familia para evaluar su nivel de conflicto.,Es un documento legal que certifica la composición de una familia.,"Es la gráfica que se utiliza como instrumento para valorar la dinámica, la composición, la estructura, el tipo de familia, las relaciones, los roles que asumen y el ciclo evolutivo por el cual está cursando la familia e…",,,3,"Es la gráfica que se utiliza como instrumento para valorar la dinámica, la composición, la estructura, el tipo de familia, las relaciones, los roles que asumen y el ciclo evolutivo por el cual está cursando la familia e…",El familiograma es una representación gráfica de la familia que permite analizar su estructura y dinámica.,
opcion_unica,¿Qué es la imparcialidad en el contexto de la mediación?,Derecho,Es la actitud del Mediador de no tomar partido por ninguna de las partes.,Es la tendencia del mediador a favorecer a la parte más débil.,Es la capacidad del mediador de mantener la confidencialidad del proceso.,Es la obligación del mediador de decidir quién tiene la razón.,,,0,Es la actitud del Mediador de no tomar partido por ninguna de las partes.,La imparcialidad exige que el mediador no favorezca a ninguna de las partes en conflicto.,
opcion_unica,¿Qué es la mediación?,Derecho,Procedimiento obligatorio donde un juez resuelve el conflicto.,Técnica de negociación directa entre las partes sin intervención de terceros.,Proceso adversarial donde cada parte presenta sus pruebas para ganar.,"Procedimiento voluntario, mínimamente formal, confidencial e integrador a través del cual un tercero imparcial y alterutral interviene para ayudar a las partes en conflicto a trabajar cooperativamente, intentando lograr…",,,3,"Procedimiento voluntario, mínimamente formal, confidencial e integrador a través del cual un tercero imparcial y alterutral interviene para ayudar a las partes en conflicto a trabajar cooperativamente, intentando lograr…",La mediación es un proceso voluntario y confidencial donde un tercero neutral facilita el diálogo para alcanzar un acuerdo.,
opcion_unica,¿Cuál es el concepto de acto jurídico?,Derecho,"Manifestación de voluntad para crear, modificar o extinguir derechos.",Declaración unilateral de voluntad sin efectos jurídicos.,Hecho jurídico que produce efectos sin voluntad.,Acuerdo de voluntades para crear obligaciones.,,,0,"Manifestación de voluntad para crear, modificar o extinguir derechos.","El acto jurídico es la manifestación de voluntad destinada a producir efectos jurídicos, como crear, modificar o extinguir derechos.",
opcion_unica,¿Qué es una convención?,Derecho,Acuerdo de voluntades para transferir la propiedad.,Contrato que solo crea obligaciones de dar.,Manifestación unilateral de voluntad para obligarse.,"Acuerdo de voluntades para crear, modificar o extinguir obligaciones.",,,3,"Acuerdo de voluntades para crear, modificar o extinguir obligaciones.","La convención es un acuerdo de voluntades que tiene por objeto crear, modificar o extinguir obligaciones.",
opcion_unica,"Según el Art. 1101, ¿qué es un contrato?",Derecho,Convenio que extingue obligaciones sin necesidad de consentimiento.,Manifestación de voluntad unilateral con efectos jurídicos.,"Convenio que obliga a dar, hacer o no hacer alguna cosa.",Acuerdo de voluntades que solo crea derechos reales.,,,2,"Convenio que obliga a dar, hacer o no hacer alguna cosa.","El contrato es un convenio que genera obligaciones de dar, hacer o no hacer, según el Art. 1101.",
opcion_unica,¿Cuáles son los elementos del contrato y su función?,Derecho,"Personales, reales y formales; su función es crear y transmitir obligaciones.","Voluntad, objeto y forma; su función es dar seguridad jurídica.","Subjetivos, objetivos y causales; su función es modificar derechos.","Esenciales, accidentales y naturales; su función es extinguir obligaciones.",,,0,"Personales, reales y formales; su función es crear y transmitir obligaciones.","Los elementos del contrato son personales, reales y formales, y su función principal es crear y transmitir obligaciones.",
opcion_unica,¿En qué consiste el doble efecto del contrato?,Derecho,Genera obligaciones entre las partes y solo afecta a quienes lo aceptaron.,Produce efectos solo si se registra ante notario.,Obliga a las partes y a terceros que se beneficien.,Crea derechos reales y obligaciones personales.,,,0,Genera obligaciones entre las partes y solo afecta a quienes lo aceptaron.,El contrato tiene doble efecto: genera obligaciones entre las partes y solo produce efectos entre ellas y sus causahabientes.,
opcion_unica,¿Cuáles son las obligaciones del comprador y del vendedor en un contrato de compraventa?,Derecho,Comprador: pagar impuestos; vendedor: garantizar la evicción.,Comprador: pagar el precio y recibir la cosa; vendedor: entregar la cosa y transferir la propiedad.,Comprador: recibir la cosa; vendedor: pagar el precio.,Comprador: entregar la cosa; vendedor: pagar el precio.,,,1,Comprador: pagar el precio y recibir la cosa; vendedor: entregar la cosa y transferir la propiedad.,"El comprador debe pagar el precio y recibir la cosa, mientras que el vendedor debe entregar la cosa y transferir la propiedad.",
opcion_unica,¿En qué consiste la interpretación de los contratos y a quién corresponde ejercerla?,Derecho,Atribuir significado a la manifestación de voluntad; corresponde al juez.,Determinar la validez del contrato; corresponde a las partes.,Redactar las cláusulas; corresponde al notario.,Calcular los daños; corresponde a un perito.,,,0,Atribuir significado a la manifestación de voluntad; corresponde al juez.,"La interpretación contractual consiste en atribuir significado a la voluntad de las partes, y corresponde al juez en caso de controversia.",
opcion_unica,"En materia contractual, ¿qué es la oferta y en qué consiste la aceptación?",Derecho,Oferta: respuesta a una propuesta; aceptación: propuesta inicial.,Oferta: promesa unilateral; aceptación: entrega de la cosa.,Oferta: propuesta de celebrar contrato; aceptación: manifestación de voluntad de aceptarla.,Oferta: invitación a negociar; aceptación: firma del contrato.,,,2,Oferta: propuesta de celebrar contrato; aceptación: manifestación de voluntad de aceptarla.,"La oferta es la propuesta de celebrar un contrato, y la aceptación es la manifestación de voluntad de aceptarla, formando así el consentimiento.",
opcion_unica,¿Qué son los contratos solemnes?,Derecho,Requieren entrega de la cosa para su validez.,Se perfeccionan por el solo consentimiento.,Son aquellos que no requieren forma alguna.,"Exigen una formalidad especial para su validez, como escritura notarial.",,,3,"Exigen una formalidad especial para su validez, como escritura notarial.","Los contratos solemnes requieren una formalidad especial, como la intervención notarial, sin la cual carecen de validez.",
opcion_unica,¿En qué consiste el principio del consensualismo y el efecto relativo del contrato?,Derecho,El contrato se forma por la entrega de la cosa y obliga a las partes.,El contrato se forma por el consentimiento y obliga a todos los interesados.,El contrato se forma por el solo consentimiento y solo obliga a las partes.,El contrato requiere forma escrita y obliga a terceros.,,,2,El contrato se forma por el solo consentimiento y solo obliga a las partes.,"El principio del consensualismo establece que el contrato se perfecciona por el solo consentimiento, y el efecto relativo implica que solo obliga a las partes.",
opcion_unica,¿Qué son los contratos aleatorios?,Derecho,"Son contratos en los que solo una de las partes asume el riesgo de pérdida, mientras la otra siempre obtiene beneficio.",Son contratos en los que las partes conocen desde el inicio todas las prestaciones y no dependen de ningún evento futuro.,"Son contratos que se celebran al azar, sin que las partes tengan obligaciones recíprocas.","Son convenios recíprocos cuyos efectos de pérdida o ganancia dependen de un suceso incierto, como el seguro, el préstamo a la gruesa, el juego y la apuesta.",,,3,"Son convenios recíprocos cuyos efectos de pérdida o ganancia dependen de un suceso incierto, como el seguro, el préstamo a la gruesa, el juego y la apuesta.","La definición correcta destaca la incertidumbre como elemento esencial, ejemplificada con contratos como el seguro.",
opcion_unica,¿En qué casos se puede dar la inexistencia del contrato?,Derecho,Cuando el objeto del contrato es ilícito pero las partes lo ignoraban.,"Cuando falta el consentimiento, no hay coincidencia entre oferta y aceptación, o los contratantes carecen de capacidad legal.","Cuando el contrato no se celebra por escrito, aunque la ley no exija esa formalidad.",Cuando una de las partes se arrepiente de haber celebrado el contrato.,,,1,"Cuando falta el consentimiento, no hay coincidencia entre oferta y aceptación, o los contratantes carecen de capacidad legal.",La inexistencia se presenta por ausencia de elementos esenciales como el consentimiento o la capacidad.,
opcion_unica,¿Cuándo se considera inexistente un contrato por ausencia de objeto?,Derecho,Cuando el objeto es posible pero no se entrega en el plazo pactado.,"Cuando falta el bien concreto o la utilidad que envuelve la prestación, incluyendo imposibilidad metafísica, indeterminación de la especie o de la cantidad.",Cuando el objeto es determinado pero las partes no lo describen detalladamente.,"Cuando el objeto es ilícito, pero las partes lo desconocen.",,,1,"Cuando falta el bien concreto o la utilidad que envuelve la prestación, incluyendo imposibilidad metafísica, indeterminación de la especie o de la cantidad.",La inexistencia por ausencia de objeto ocurre cuando no hay un bien o prestación determinada o determinable.,
opcion_unica,¿En qué casos se da la nulidad de pleno derecho en los contratos?,Derecho,Cuando el contrato no fue registrado ante autoridad administrativa.,Cuando una de las partes incumple sus obligaciones.,Cuando el contrato fue celebrado bajo presión económica.,Cuando el contrato no cumple con los requisitos de fondo o de forma establecidos por la ley para su validez.,,,3,Cuando el contrato no cumple con los requisitos de fondo o de forma establecidos por la ley para su validez.,La nulidad absoluta se produce por la falta de requisitos esenciales de validez impuestos por la ley.,
opcion_unica,¿En qué contratos se puede producir la anulabilidad?,Derecho,En aquellos que contravienen normas de orden público.,En aquellos celebrados sin las formalidades exigidas bajo pena de nulidad absoluta.,En aquellos que carecen de objeto o causa lícita.,"En aquellos afectados por error, violencia, dolo, incapacidad para contratar o vicios de forma.",,,3,"En aquellos afectados por error, violencia, dolo, incapacidad para contratar o vicios de forma.","La anulabilidad se da cuando existen vicios del consentimiento o incapacidad relativa, permitiendo la nulidad relativa.",
opcion_unica,"¿Cuáles son los efectos de la inexistencia, nulidad y anulabilidad de los contratos?",Derecho,"El contrato se considera válido hasta que un juez lo declare nulo, sin efectos retroactivos.","Solo se anulan las obligaciones futuras, manteniendo las ya cumplidas.",Las partes pueden elegir si cumplen o no el contrato nulo.,"Desaparecen todas las obligaciones, opera retroactivamente y las partes deben restituirse lo recibido, salvo excepciones como arrendamientos.",,,3,"Desaparecen todas las obligaciones, opera retroactivamente y las partes deben restituirse lo recibido, salvo excepciones como arrendamientos.","La nulidad tiene efecto retroactivo, eliminando el contrato y sus obligaciones, con restituciones mutuas.",
opcion_unica,¿Cómo se produce la confirmación de los contratos?,Derecho,"Cuando ambas partes acuerdan continuar con el contrato, aunque el vicio persista.",Cuando el contrato se celebra nuevamente con las mismas cláusulas.,"Cuando la persona que podría invocar la nulidad relativa renuncia a esa acción, con conocimiento del vicio y sin que exista ese vicio en la confirmación.",Cuando un juez declara válido el contrato a pesar de los vicios.,,,2,"Cuando la persona que podría invocar la nulidad relativa renuncia a esa acción, con conocimiento del vicio y sin que exista ese vicio en la confirmación.","La confirmación es un acto unilateral que subsana la nulidad relativa, siempre que se haga con conocimiento del vicio.",
opcion_unica,¿En qué consiste el principio de autonomía de la voluntad de las partes al momento de contratar?,Derecho,En la facultad de las partes para imponer condiciones a terceros.,En la facultad de las partes para celebrar libremente el contrato y determinar su contenido y efectos según su voluntad.,En la obligación de contratar con quien la ley indique.,En la libertad de las partes para incumplir el contrato si cambian de opinión.,,,1,En la facultad de las partes para celebrar libremente el contrato y determinar su contenido y efectos según su voluntad.,La autonomía de la voluntad permite a las partes autorregular sus intereses dentro de los límites legales.,
opcion_unica,¿Cuáles son los vicios del consentimiento en los contratos?,Derecho,"Son anormalidades del consentimiento que ocasionan la anulación del acto jurídico a favor de la parte víctima: error, violencia, dolo y lesión.",Son situaciones en las que el objeto es ilícito o imposible.,Son causas de nulidad absoluta que no admiten confirmación.,Son defectos en la forma escrita del contrato.,,,0,"Son anormalidades del consentimiento que ocasionan la anulación del acto jurídico a favor de la parte víctima: error, violencia, dolo y lesión.","Los vicios del consentimiento son el error, la violencia, el dolo y la lesión, que afectan la validez del acto.",
opcion_unica,"¿En qué consisten el dolo, el error y la violencia a la hora de contratar?",Derecho,El error es un simple malentendido sin relevancia jurídica; el dolo es un error espontáneo; la violencia es una simple molestia.,El error se refiere a la forma del contrato; el dolo a la capacidad; la violencia a la causa.,El error siempre anula el contrato; el dolo solo da lugar a indemnización; la violencia solo se considera si la ejerce la otra parte.,El error es un obstáculo que impide la formación del contrato; el dolo es un error provocado por medios engañosos; la violencia es la presión ejercida para obtener el consentimiento.,,,3,El error es un obstáculo que impide la formación del contrato; el dolo es un error provocado por medios engañosos; la violencia es la presión ejercida para obtener el consentimiento.,"La respuesta correcta distingue claramente cada vicio: error, dolo y violencia, con sus características.",
opcion_unica,¿Qué es la lesión en los contratos?,Derecho,Es el error de hecho o de derecho que invalida el consentimiento en cualquier tipo de contrato.,"Es el incumplimiento de una obligación contractual por una de las partes, que genera responsabilidad civil.",Es el perjuicio económico que sufre una de las partes contratantes; es un vicio excepcional del consentimiento que solo aplica en determinados contratos y respecto de ciertas personas.,"Es la falta de capacidad legal de una de las partes para celebrar un contrato, lo que lo hace nulo.",,,2,Es el perjuicio económico que sufre una de las partes contratantes; es un vicio excepcional del consentimiento que solo aplica en determinados contratos y respecto de ciertas personas.,"La lesión es un vicio del consentimiento que consiste en un perjuicio económico desproporcionado, aplicable solo en casos específicos.",
opcion_unica,¿En qué consiste la rescisión por lesión en los contratos?,Derecho,El vendedor puede rescindir la venta si el comprador no paga el precio en el plazo estipulado.,"Si el vendedor ha sido lesionado en más de las 7/12 partes del precio de un inmueble, tiene derecho a pedir la rescisión de la venta, aunque haya renunciado expresamente a esa facultad o haya declarado que donaba la dif…",La rescisión por lesión procede cuando el precio pactado es inferior al valor de mercado en cualquier tipo de bien.,"Si el comprador paga menos de la mitad del valor real del inmueble, puede pedir la rescisión del contrato.",,,1,"Si el vendedor ha sido lesionado en más de las 7/12 partes del precio de un inmueble, tiene derecho a pedir la rescisión de la venta, aunque haya renunciado expresamente a esa facultad o haya declarado que donaba la dif…",La rescisión por lesión permite al vendedor de un inmueble demandar la nulidad de la venta si el precio es inferior a las 7/12 partes de su valor real.,
opcion_unica,¿Cuál es el concepto de acto jurídico?,Derecho,Es el acuerdo de voluntades entre dos o más personas para crear o transmitir obligaciones.,"Es todo hecho que produce consecuencias de derecho, independientemente de la voluntad de las personas.","Es la declaración unilateral de voluntad que siempre produce efectos jurídicos, sin necesidad de aceptación.","Es la manifestación de la voluntad de una o más partes con la intención de crear, modificar o extinguir un derecho; la voluntad debe manifestarse y la persona debe tener intención de producir efectos jurídicos.",,,3,"Es la manifestación de la voluntad de una o más partes con la intención de crear, modificar o extinguir un derecho; la voluntad debe manifestarse y la persona debe tener intención de producir efectos jurídicos.","El acto jurídico es una manifestación de voluntad dirigida a producir efectos jurídicos, como crear, modificar o extinguir derechos.",
opcion_unica,¿Qué es la convención?,Derecho,"Es el contrato que genera obligaciones de dar, hacer o no hacer.","Es el acuerdo de voluntades entre dos o más personas para crear, modificar o extinguir obligaciones; toda convención es un acto jurídico, pero no todo acto jurídico es una convención.",Es el acto jurídico que solo transfiere la propiedad de una cosa.,Es la manifestación unilateral de voluntad que crea obligaciones para su autor.,,,1,"Es el acuerdo de voluntades entre dos o más personas para crear, modificar o extinguir obligaciones; toda convención es un acto jurídico, pero no todo acto jurídico es una convención.","La convención es un acuerdo de voluntades que produce efectos jurídicos, y es una especie de acto jurídico.",
opcion_unica,¿Cuál es el concepto de contrato según el artículo 1101 del Código Civil?,Derecho,"Es un convenio en cuya virtud una o varias personas se obligan respecto de una o varias otras a dar, hacer o no hacer alguna cosa.",Es la manifestación unilateral de voluntad que produce obligaciones para su autor.,Es un acuerdo de voluntades que solo crea derechos reales sobre bienes inmuebles.,Es un acto jurídico que extingue obligaciones preexistentes entre las partes.,,,0,"Es un convenio en cuya virtud una o varias personas se obligan respecto de una o varias otras a dar, hacer o no hacer alguna cosa.","El contrato es un convenio que genera obligaciones de dar, hacer o no hacer, según el artículo 1101.",
opcion_unica,¿Cuáles son los elementos del contrato y cuál es su función?,Derecho,"Los elementos son capacidad, objeto y causa; su función es regular la propiedad.","Los elementos son personales (sujetos con capacidad), reales (objeto y contraprestación) y formales (forma de manifestación del consentimiento); su función es crear y transmitir obligaciones.","Los elementos son consentimiento, objeto y precio; su función es establecer la validez del acto.","Los elementos son esenciales, naturales y accidentales; su función es dar fe pública de los actos.",,,1,"Los elementos son personales (sujetos con capacidad), reales (objeto y contraprestación) y formales (forma de manifestación del consentimiento); su función es crear y transmitir obligaciones.","El contrato tiene elementos personales, reales y formales, y su función principal es crear y transmitir obligaciones.",
opcion_unica,¿En qué consiste el doble efecto del contrato?,Derecho,"Produce efectos patrimoniales y extrapatrimoniales, y puede ser revocado unilateralmente.",Obliga a las partes y también a los terceros que se beneficien del contrato.,"Crea derechos reales y personales, y produce efectos frente a terceros.","Genera obligaciones entre las partes, que deben ajustarse a lo estipulado (principio de literalidad), y sus efectos solo alcanzan a las partes y sus causahabientes (principio de relatividad).",,,3,"Genera obligaciones entre las partes, que deben ajustarse a lo estipulado (principio de literalidad), y sus efectos solo alcanzan a las partes y sus causahabientes (principio de relatividad).",El doble efecto del contrato es que obliga a las partes según lo pactado y solo tiene efectos entre ellas y sus causahabientes.,
opcion_unica,¿Cuáles son las obligaciones nacidas del contrato?,Derecho,Son obligaciones naturales que no pueden exigirse judicialmente.,Son obligaciones morales que las partes deben cumplir por buena fe.,"Son obligaciones jurídicas sancionadas por el derecho; por ejemplo, en la compraventa, el comprador debe pagar el precio y recibir la cosa, y el vendedor debe entregarla y transferir la propiedad.",Son obligaciones que solo surgen si las partes las pactan expresamente.,,,2,"Son obligaciones jurídicas sancionadas por el derecho; por ejemplo, en la compraventa, el comprador debe pagar el precio y recibir la cosa, y el vendedor debe entregarla y transferir la propiedad.","Las obligaciones contractuales son jurídicas y exigibles, como las de pagar el precio y entregar la cosa en la compraventa.",
opcion_unica,¿En qué consiste la interpretación de los contratos y a quién corresponde ejercerla?,Derecho,Consiste en fijar el sentido de las cláusulas; corresponde a un árbitro designado por las partes.,Consiste en adecuar el contrato a la ley; corresponde a las partes contratantes.,"Consiste en atribuir significado a un texto jurídico; corresponde al juez, quien debe sujetarse a las reglas legales de interpretación para determinar el sentido de la voluntad de las partes.",Consiste en determinar la intención de las partes; corresponde a los notarios públicos.,,,2,"Consiste en atribuir significado a un texto jurídico; corresponde al juez, quien debe sujetarse a las reglas legales de interpretación para determinar el sentido de la voluntad de las partes.",La interpretación contractual busca atribuir significado a la voluntad de las partes y es facultad del juez conforme a las reglas legales.,
